"filename", "language", "Dart", "comment", "blank", "total"
"/Users/kanema/Documents/Kanema/projects/kanemaonline/lib/api/auth_api.dart", "Dart", 93, 18, 16, 127
"/Users/kanema/Documents/Kanema/projects/kanemaonline/lib/api/live_events_api.dart", "Dart", 47, 0, 7, 54
"/Users/kanema/Documents/Kanema/projects/kanemaonline/lib/api/tvs_api.dart", "Dart", 47, 0, 7, 54
"/Users/kanema/Documents/Kanema/projects/kanemaonline/lib/api/vods_api.dart", "Dart", 54, 0, 8, 62
"/Users/kanema/Documents/Kanema/projects/kanemaonline/lib/data/countries.dart", "Dart", 1478, 0, 1, 1479
"/Users/kanema/Documents/Kanema/projects/kanemaonline/lib/data/trends.dart", "Dart", 1278, 0, 1, 1279
"/Users/kanema/Documents/Kanema/projects/kanemaonline/lib/helpers/constants/colors.dart", "Dart", 8, 0, 3, 11
"/Users/kanema/Documents/Kanema/projects/kanemaonline/lib/helpers/constants/input_decorations.dart", "Dart", 29, 0, 3, 32
"/Users/kanema/Documents/Kanema/projects/kanemaonline/lib/main.dart", "Dart", 75, 1, 7, 83
"/Users/kanema/Documents/Kanema/projects/kanemaonline/lib/providers/auth_provider.dart", "Dart", 70, 40, 25, 135
"/Users/kanema/Documents/Kanema/projects/kanemaonline/lib/providers/live_events_provider.dart", "Dart", 18, 0, 7, 25
"/Users/kanema/Documents/Kanema/projects/kanemaonline/lib/providers/tvs_provider.dart", "Dart", 25, 0, 9, 34
"/Users/kanema/Documents/Kanema/projects/kanemaonline/lib/providers/vods_provider.dart", "Dart", 24, 0, 9, 33
"/Users/kanema/Documents/Kanema/projects/kanemaonline/lib/screens/auth/choose_country.dart", "Dart", 148, 1, 8, 157
"/Users/kanema/Documents/Kanema/projects/kanemaonline/lib/screens/auth/forgot_password.dart", "Dart", 104, 0, 7, 111
"/Users/kanema/Documents/Kanema/projects/kanemaonline/lib/screens/auth/login.dart", "Dart", 220, 2, 13, 235
"/Users/kanema/Documents/Kanema/projects/kanemaonline/lib/screens/auth/register.dart", "Dart", 200, 3, 8, 211
"/Users/kanema/Documents/Kanema/projects/kanemaonline/lib/screens/details_pages/live_event_details.dart", "Dart", 0, 0, 1, 1
"/Users/kanema/Documents/Kanema/projects/kanemaonline/lib/screens/details_pages/live_tv_details.dart", "Dart", 0, 0, 1, 1
